doc_name,cat_ratings,specialty
Dr. Sol S. Zimmerman,"4Staff,3Punctuality,4Helpfulness,5Knowledge,2Staff,4Punctuality,4Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,Staff,2Punctuality,4Helpfulness,4Knowledge,Staff,2Punctuality,5Helpfulness,5Knowledge",Pediatrician
Dr. Gerald G. DiMaso,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,3Punctuality,5Helpfulness,4Knowledge,4Staff,2Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,1Helpfulness,2Knowledge",Internist / Geriatrician
Dr. Sol S. Zimmerman,"4Staff,3Punctuality,4Helpfulness,5Knowledge,2Staff,4Punctuality,4Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,Staff,2Punctuality,4Helpfulness,4Knowledge,Staff,2Punctuality,5Helpfulness,5Knowledge",Pediatrician
Dr. Gerald G. DiMaso,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,3Punctuality,5Helpfulness,4Knowledge,4Staff,2Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,1Helpfulness,2Knowledge",Internist / Geriatrician
Dr. Sol S. Zimmerman,"4Staff,3Punctuality,4Helpfulness,5Knowledge,2Staff,4Punctuality,4Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,Staff,2Punctuality,4Helpfulness,4Knowledge,Staff,2Punctuality,5Helpfulness,5Knowledge",Pediatrician
Dr. Gerald G. DiMaso,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,3Punctuality,5Helpfulness,4Knowledge,4Staff,2Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,1Helpfulness,2Knowledge",Internist / Geriatrician
Dr. Sol S. Zimmerman,"4Staff,3Punctuality,4Helpfulness,5Knowledge,2Staff,4Punctuality,4Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,Staff,2Punctuality,4Helpfulness,4Knowledge,Staff,2Punctuality,5Helpfulness,5Knowledge",Pediatrician
Dr. Gerald G. DiMaso,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,3Punctuality,5Helpfulness,4Knowledge,4Staff,2Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,1Helpfulness,2Knowledge",Internist / Geriatrician
Dr. Ronald Gentile,"4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ophthalmologist
Dr. Ronald Gentile,"4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ophthalmologist
Dr. Ronald Gentile,"4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ophthalmologist
Dr. Ronald Gentile,"4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ophthalmologist
Dr. Ronald Gentile,"4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ophthalmologist
Dr. Andrei Rebarber,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Gynecologist (OBGYN)
Dr. Philip Felig,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,2Helpfulness,4Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Endocrinologist
Dr. Andrei Rebarber,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Gynecologist (OBGYN)
Dr. Philip Felig,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,2Helpfulness,4Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Endocrinologist
Dr. Andrei Rebarber,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Gynecologist (OBGYN)
Dr. Philip Felig,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,2Helpfulness,4Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Endocrinologist
Dr. Andrei Rebarber,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Gynecologist (OBGYN)
Dr. Philip Felig,"1Staff,1Punctuality,2Helpfulness,4Knowledge,5Staff,2Punctuality,3Helpfulness,5Knowledge,5Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,Staff,3Punctuality,5Helpfulness,5Knowledge",Endocrinologist
Dr. Philip Felig,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,2Helpfulness,4Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge",Endocrinologist
Dr. Arthur Asher Kornbluth,"4Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,3Helpfulness,4Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,5Knowledge,2Staff,1Punctuality,4Helpfulness,5Knowledge,3Staff,1Punctuality,3Helpfulness,4Knowledge",Gastroenterologist
Dr. Arthur Asher Kornbluth,"4Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,3Helpfulness,4Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,5Knowledge,2Staff,1Punctuality,4Helpfulness,5Knowledge,3Staff,1Punctuality,3Helpfulness,4Knowledge",Gastroenterologist
Dr. Arthur Asher Kornbluth,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge",Gastroenterologist
Dr. Arthur Asher Kornbluth,"4Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,3Helpfulness,4Knowledge,1Staff,1Punctuality,1Helpfulness,2Knowledge,1Staff,1Punctuality,1Helpfulness,5Knowledge,3Staff,1Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,2Staff,1Punctuality,3Helpfulness,5Knowledge,2Staff,1Punctuality,4Helpfulness,5Knowledge,3Staff,1Punctuality,3Helpfulness,4Knowledge",Gastroenterologist
Dr. Lara Mor Zilberstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Family Doctor / G.P.
"Dr. Scott J. Zevon, MD, FACS","2Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,3Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Lara Mor Zilberstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Family Doctor / G.P.
Dr. Shahnoz Rustamova,"2Staff,3Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,3Punctuality,2Helpfulness,3Knowledge,3Staff,5Punctuality,4Helpfulness,4Knowledge,2Staff,4Punctuality,2Helpfulness,4Knowledge",Gynecologist (OBGYN)
Dr. Elias H. Kassab,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,3Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,2Helpfulness,5Knowledge,3Staff,3Punctuality,2Helpfulness,5Knowledge,4Staff,1Punctuality,3Helpfulness,3Knowledge",Cardiologist
"Dr. Scott J. Zevon, MD, FACS","2Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,3Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Lara Mor Zilberstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Family Doctor / G.P.
Dr. Shahnoz Rustamova,"2Staff,3Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,3Punctuality,2Helpfulness,3Knowledge,3Staff,5Punctuality,4Helpfulness,4Knowledge,2Staff,4Punctuality,2Helpfulness,4Knowledge",Gynecologist (OBGYN)
"Dr. Scott J. Zevon, MD, FACS","2Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,3Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Shahnoz Rustamova,"2Staff,3Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,3Punctuality,2Helpfulness,3Knowledge,3Staff,5Punctuality,4Helpfulness,4Knowledge,2Staff,4Punctuality,2Helpfulness,4Knowledge",Gynecologist (OBGYN)
Dr. Lara Mor Zilberstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Family Doctor / G.P.
"Dr. Scott J. Zevon, MD, FACS","2Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,3Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Elias H. Kassab,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,3Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,2Helpfulness,5Knowledge,3Staff,3Punctuality,2Helpfulness,5Knowledge,4Staff,1Punctuality,3Helpfulness,3Knowledge",Cardiologist
Dr. Elias H. Kassab,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,3Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,2Helpfulness,5Knowledge,3Staff,3Punctuality,2Helpfulness,5Knowledge,4Staff,1Punctuality,3Helpfulness,3Knowledge",Cardiologist
Dr. Shahnoz Rustamova,"2Staff,3Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,3Punctuality,2Helpfulness,3Knowledge,3Staff,5Punctuality,4Helpfulness,4Knowledge,2Staff,4Punctuality,2Helpfulness,4Knowledge",Gynecologist (OBGYN)
Dr. Elias H. Kassab,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,3Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,2Helpfulness,5Knowledge,3Staff,3Punctuality,2Helpfulness,5Knowledge,4Staff,1Punctuality,3Helpfulness,3Knowledge",Cardiologist
Dr. Lara Mor Zilberstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Family Doctor / G.P.
Dr. Shahnoz Rustamova,"2Staff,3Punctuality,1Helpfulness,1Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,3Punctuality,2Helpfulness,3Knowledge,3Staff,5Punctuality,4Helpfulness,4Knowledge,2Staff,4Punctuality,2Helpfulness,4Knowledge",Gynecologist (OBGYN)
"Dr. Scott J. Zevon, MD, FACS","2Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,3Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Elias H. Kassab,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,3Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,2Helpfulness,5Knowledge,3Staff,3Punctuality,2Helpfulness,5Knowledge,4Staff,1Punctuality,3Helpfulness,3Knowledge",Cardiologist
Dr. Gerald J. Smallberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,2Helpfulness,2Knowledge",Neurologist
Dr. Harvey M. Plasse,"3Staff,3Punctuality,3Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Gerald J. Smallberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,2Helpfulness,2Knowledge",Neurologist
Dr. Harvey M. Plasse,"3Staff,3Punctuality,3Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Gerald J. Smallberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,2Helpfulness,2Knowledge",Neurologist
Dr. Harvey M. Plasse,"3Staff,3Punctuality,3Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Gerald J. Smallberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,2Helpfulness,2Knowledge",Neurologist
Dr. Harvey M. Plasse,"3Staff,3Punctuality,3Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Gerald J. Smallberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,2Helpfulness,2Knowledge",Neurologist
Dr. Harvey M. Plasse,"3Staff,3Punctuality,3Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Cheryl Karcher,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,2Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,3Helpfulness,3Knowledge",Dermatologist
Dr. Cheryl Karcher,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,2Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,3Helpfulness,3Knowledge",Dermatologist
Dr. Cheryl Karcher,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,2Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,3Helpfulness,3Knowledge",Dermatologist
Dr. Cheryl Karcher,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,2Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,3Helpfulness,3Knowledge",Dermatologist
Dr. Cheryl Karcher,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,2Punctuality,3Helpfulness,3Knowledge,3Staff,3Punctuality,3Helpfulness,3Knowledge",Dermatologist
Dr. R. Lucian Sulica,"1Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Simon D. Fink,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,5Knowledge,4Staff,5Punctuality,1Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,2Punctuality,2Helpfulness,3Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge",Surgeon (general)
Dr. Brian R. Landzberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,1Punctuality,1Helpfulness,1Knowledge,3Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge",Gastroenterologist
Dr. William B. Rosenblatt,"1Staff,1Punctuality,1Helpfulness,1Knowledge,2Staff,4Punctuality,2Helpfulness,2Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,2Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. R. Lucian Sulica,"1Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
